search_parameter,base,code,status,type_,xpath,xpath_transformed,target,expression
patient,AllergyIntolerance|CarePlan|CareTeam|ClinicalImpression|Composition|Condition|Consent|DetectedIssue|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|Encounter|EpisodeOfCare|FamilyMemberHistory|Flag|Goal|ImagingStudy|Immunization|List|MedicationAdministration|MedicationDispense|MedicationRequest|MedicationStatement|NutritionOrder|Observation|Procedure|RiskAssessment|ServiceRequest|SupplyDelivery|VisionPrescription,patient,draft,reference,f:AllergyIntolerance/f:patient | f:CarePlan/f:subject | f:CareTeam/f:subject | f:ClinicalImpression/f:subject | f:Composition/f:subject | f:Condition/f:subject | f:Consent/f:patient | f:DetectedIssue/f:patient | f:DeviceRequest/f:subject | f:DeviceUseStatement/f:subject | f:DiagnosticReport/f:subject | f:DocumentManifest/f:subject | f:DocumentReference/f:subject | f:Encounter/f:subject | f:EpisodeOfCare/f:patient | f:FamilyMemberHistory/f:patient | f:Flag/f:subject | f:Goal/f:subject | f:ImagingStudy/f:subject | f:Immunization/f:patient | f:List/f:subject | f:MedicationAdministration/f:subject | f:MedicationDispense/f:subject | f:MedicationRequest/f:subject | f:MedicationStatement/f:subject | f:NutritionOrder/f:patient | f:Observation/f:subject | f:Procedure/f:subject | f:RiskAssessment/f:subject | f:ServiceRequest/f:subject | f:SupplyDelivery/f:patient | f:VisionPrescription/f:patient,AllergyIntolerance.patient | CarePlan.subject | CareTeam.subject | ClinicalImpression.subject | Composition.subject | Condition.subject | Consent.patient | DetectedIssue.patient | DeviceRequest.subject | DeviceUseStatement.subject | DiagnosticReport.subject | DocumentManifest.subject | DocumentReference.subject | Encounter.subject | EpisodeOfCare.patient | FamilyMemberHistory.patient | Flag.subject | Goal.subject | ImagingStudy.subject | Immunization.patient | List.subject | MedicationAdministration.subject | MedicationDispense.subject | MedicationRequest.subject | MedicationStatement.subject | NutritionOrder.patient | Observation.subject | Procedure.subject | RiskAssessment.subject | ServiceRequest.subject | SupplyDelivery.patient | VisionPrescription.patient,Patient|Group,AllergyIntolerance.patient | CarePlan.subject.where(resolve() is Patient) | CareTeam.subject.where(resolve() is Patient) | ClinicalImpression.subject.where(resolve() is Patient) | Composition.subject.where(resolve() is Patient) | Condition.subject.where(resolve() is Patient) | Consent.patient | DetectedIssue.patient | DeviceRequest.subject.where(resolve() is Patient) | DeviceUseStatement.subject | DiagnosticReport.subject.where(resolve() is Patient) | DocumentManifest.subject.where(resolve() is Patient) | DocumentReference.subject.where(resolve() is Patient) | Encounter.subject.where(resolve() is Patient) | EpisodeOfCare.patient | FamilyMemberHistory.patient | Flag.subject.where(resolve() is Patient) | Goal.subject.where(resolve() is Patient) | ImagingStudy.subject.where(resolve() is Patient) | Immunization.patient | List.subject.where(resolve() is Patient) | MedicationAdministration.subject.where(resolve() is Patient) | MedicationDispense.subject.where(resolve() is Patient) | MedicationRequest.subject.where(resolve() is Patient) | MedicationStatement.subject.where(resolve() is Patient) | NutritionOrder.patient | Observation.subject.where(resolve() is Patient) | Procedure.subject.where(resolve() is Patient) | RiskAssessment.subject.where(resolve() is Patient) | ServiceRequest.subject.where(resolve() is Patient) | SupplyDelivery.patient | VisionPrescription.patient
recorder,AllergyIntolerance,recorder,draft,reference,f:AllergyIntolerance/f:recorder,AllergyIntolerance.recorder,Practitioner|Patient|PractitionerRole|RelatedPerson,AllergyIntolerance.recorder
route,AllergyIntolerance,route,draft,token,f:AllergyIntolerance/f:reaction/f:exposureRoute,AllergyIntolerance.reaction.exposureRoute,None,AllergyIntolerance.reaction.exposureRoute
severity,AllergyIntolerance,severity,draft,token,f:AllergyIntolerance/f:reaction/f:severity,AllergyIntolerance.reaction.severity,None,AllergyIntolerance.reaction.severity
type,AllergyIntolerance|Composition|DocumentManifest|DocumentReference|Encounter|EpisodeOfCare,type,draft,token,f:AllergyIntolerance/f:type | f:Composition/f:type | f:DocumentManifest/f:type | f:DocumentReference/f:type | f:Encounter/f:type | f:EpisodeOfCare/f:type,AllergyIntolerance.type | Composition.type | DocumentManifest.type | DocumentReference.type | Encounter.type | EpisodeOfCare.type,None,AllergyIntolerance.type | Composition.type | DocumentManifest.type | DocumentReference.type | Encounter.type | EpisodeOfCare.type
verification-status,AllergyIntolerance,verification-status,draft,token,f:AllergyIntolerance/f:verificationStatus,AllergyIntolerance.verificationStatus,None,AllergyIntolerance.verificationStatus
actor,Appointment,actor,draft,reference,f:Appointment/f:participant/f:actor,Appointment.participant.actor,Practitioner|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson|Location,Appointment.participant.actor
appointment-type,Appointment,appointment-type,draft,token,f:Appointment/f:appointmentType,Appointment.appointmentType,None,Appointment.appointmentType
based-on,Appointment,based-on,draft,reference,f:Appointment/f:basedOn,Appointment.basedOn,ServiceRequest,Appointment.basedOn
date,Appointment,date,draft,date,f:Appointment/f:start,Appointment.start,None,Appointment.start
identifier,Appointment,identifier,draft,token,f:Appointment/f:identifier,Appointment.identifier,None,Appointment.identifier
location,Appointment,location,draft,reference,f:Appointment/f:participant/f:actor,Appointment.participant.actor,Location,Appointment.participant.actor.where(resolve() is Location)
part-status,Appointment,part-status,draft,token,f:Appointment/f:participant/f:status,Appointment.participant.status,None,Appointment.participant.status
patient,Appointment,patient,draft,reference,f:Appointment/f:participant/f:actor,Appointment.participant.actor,Patient,Appointment.participant.actor.where(resolve() is Patient)
practitioner,Appointment,practitioner,draft,reference,f:Appointment/f:participant/f:actor,Appointment.participant.actor,Practitioner,Appointment.participant.actor.where(resolve() is Practitioner)
reason-code,Appointment,reason-code,draft,token,f:Appointment/f:reasonCode,Appointment.reasonCode,None,Appointment.reasonCode
reason-reference,Appointment,reason-reference,draft,reference,f:Appointment/f:reasonReference,Appointment.reasonReference,Condition|Observation|Procedure|ImmunizationRecommendation,Appointment.reasonReference
service-category,Appointment,service-category,draft,token,f:Appointment/f:serviceCategory,Appointment.serviceCategory,None,Appointment.serviceCategory
service-type,Appointment,service-type,draft,token,f:Appointment/f:serviceType,Appointment.serviceType,None,Appointment.serviceType
slot,Appointment,slot,draft,reference,f:Appointment/f:slot,Appointment.slot,Slot,Appointment.slot
specialty,Appointment,specialty,draft,token,f:Appointment/f:specialty,Appointment.specialty,None,Appointment.specialty
status,Appointment,status,draft,token,f:Appointment/f:status,Appointment.status,None,Appointment.status
supporting-info,Appointment,supporting-info,draft,reference,f:Appointment/f:supportingInformation,Appointment.supportingInformation,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Appointment.supportingInformation
actor,AppointmentResponse,actor,draft,reference,f:AppointmentResponse/f:actor,AppointmentResponse.actor,Practitioner|Device|Patient|HealthcareService|PractitionerRole|RelatedPerson|Location,AppointmentResponse.actor
appointment,AppointmentResponse,appointment,draft,reference,f:AppointmentResponse/f:appointment,AppointmentResponse.appointment,Appointment,AppointmentResponse.appointment
identifier,AppointmentResponse,identifier,draft,token,f:AppointmentResponse/f:identifier,AppointmentResponse.identifier,None,AppointmentResponse.identifier
location,AppointmentResponse,location,draft,reference,f:AppointmentResponse/f:actor,AppointmentResponse.actor,Location,AppointmentResponse.actor.where(resolve() is Location)
part-status,AppointmentResponse,part-status,draft,token,f:AppointmentResponse/f:participantStatus,AppointmentResponse.participantStatus,None,AppointmentResponse.participantStatus
patient,AppointmentResponse,patient,draft,reference,f:AppointmentResponse/f:actor,AppointmentResponse.actor,Patient,AppointmentResponse.actor.where(resolve() is Patient)
practitioner,AppointmentResponse,practitioner,draft,reference,f:AppointmentResponse/f:actor,AppointmentResponse.actor,Practitioner,AppointmentResponse.actor.where(resolve() is Practitioner)
action,AuditEvent,action,draft,token,f:AuditEvent/f:action,AuditEvent.action,None,AuditEvent.action
address,AuditEvent,address,draft,string,f:AuditEvent/f:agent/f:network/f:address,AuditEvent.agent.network.address,None,AuditEvent.agent.network.address
agent,AuditEvent,agent,draft,reference,f:AuditEvent/f:agent/f:who,AuditEvent.agent.who,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,AuditEvent.agent.who
agent-name,AuditEvent,agent-name,draft,string,f:AuditEvent/f:agent/f:name,AuditEvent.agent.name,None,AuditEvent.agent.name
agent-role,AuditEvent,agent-role,draft,token,f:AuditEvent/f:agent/f:role,AuditEvent.agent.role,None,AuditEvent.agent.role
altid,AuditEvent,altid,draft,token,f:AuditEvent/f:agent/f:altId,AuditEvent.agent.altId,None,AuditEvent.agent.altId
date,AuditEvent,date,draft,date,f:AuditEvent/f:recorded,AuditEvent.recorded,None,AuditEvent.recorded
entity,AuditEvent,entity,draft,reference,f:AuditEvent/f:entity/f:what,AuditEvent.entity.what,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,AuditEvent.entity.what
entity-name,AuditEvent,entity-name,draft,string,f:AuditEvent/f:entity/f:name,AuditEvent.entity.name,None,AuditEvent.entity.name
entity-role,AuditEvent,entity-role,draft,token,f:AuditEvent/f:entity/f:role,AuditEvent.entity.role,None,AuditEvent.entity.role
entity-type,AuditEvent,entity-type,draft,token,f:AuditEvent/f:entity/f:type,AuditEvent.entity.type,None,AuditEvent.entity.type
outcome,AuditEvent,outcome,draft,token,f:AuditEvent/f:outcome,AuditEvent.outcome,None,AuditEvent.outcome
patient,AuditEvent,patient,draft,reference,f:AuditEvent/f:agent/f:who | f:AuditEvent/f:entity/f:what,AuditEvent.agent.who | AuditEvent.entity.what,Patient,AuditEvent.agent.who.where(resolve() is Patient) | AuditEvent.entity.what.where(resolve() is Patient)
policy,AuditEvent,policy,draft,uri,f:AuditEvent/f:agent/f:policy,AuditEvent.agent.policy,None,AuditEvent.agent.policy
site,AuditEvent,site,draft,token,f:AuditEvent/f:source/f:site,AuditEvent.source.site,None,AuditEvent.source.site
source,AuditEvent,source,draft,reference,f:AuditEvent/f:source/f:observer,AuditEvent.source.observer,Practitioner|Organization|Device|Patient|PractitionerRole|RelatedPerson,AuditEvent.source.observer
subtype,AuditEvent,subtype,draft,token,f:AuditEvent/f:subtype,AuditEvent.subtype,None,AuditEvent.subtype
type,AuditEvent,type,draft,token,f:AuditEvent/f:type,AuditEvent.type,None,AuditEvent.type
author,Basic,author,draft,reference,f:Basic/f:author,Basic.author,Practitioner|Organization|Patient|PractitionerRole|RelatedPerson,Basic.author
code,Basic,code,draft,token,f:Basic/f:code,Basic.code,None,Basic.code
created,Basic,created,draft,date,f:Basic/f:created,Basic.created,None,Basic.created
identifier,Basic,identifier,draft,token,f:Basic/f:identifier,Basic.identifier,None,Basic.identifier
patient,Basic,patient,draft,reference,f:Basic/f:subject,Basic.subject,Patient,Basic.subject.where(resolve() is Patient)
subject,Basic,subject,draft,reference,f:Basic/f:subject,Basic.subject,Account|ActivityDefinition|AdverseEvent|AllergyIntolerance|Appointment|AppointmentResponse|AuditEvent|Basic|Binary|BiologicallyDerivedProduct|BodyStructure|Bundle|CapabilityStatement|CarePlan|CareTeam|CatalogEntry|ChargeItem|ChargeItemDefinition|Claim|ClaimResponse|ClinicalImpression|CodeSystem|Communication|CommunicationRequest|CompartmentDefinition|Composition|ConceptMap|Condition|Consent|Contract|Coverage|CoverageEligibilityRequest|CoverageEligibilityResponse|DetectedIssue|Device|DeviceDefinition|DeviceMetric|DeviceRequest|DeviceUseStatement|DiagnosticReport|DocumentManifest|DocumentReference|EffectEvidenceSynthesis|Encounter|Endpoint|EnrollmentRequest|EnrollmentResponse|EpisodeOfCare|EventDefinition|Evidence|EvidenceVariable|ExampleScenario|ExplanationOfBenefit|FamilyMemberHistory|Flag|Goal|GraphDefinition|Group|GuidanceResponse|HealthcareService|ImagingStudy|Immunization|ImmunizationEvaluation|ImmunizationRecommendation|ImplementationGuide|InsurancePlan|Invoice|Library|Linkage|List|Location|Measure|MeasureReport|Media|Medication|MedicationAdministration|MedicationDispense|MedicationKnowledge|MedicationRequest|MedicationStatement|MedicinalProduct|MedicinalProductAuthorization|MedicinalProductContraindication|MedicinalProductIndication|MedicinalProductIngredient|MedicinalProductInteraction|MedicinalProductManufactured|MedicinalProductPackaged|MedicinalProductPharmaceutical|MedicinalProductUndesirableEffect|MessageDefinition|MessageHeader|MolecularSequence|NamingSystem|NutritionOrder|Observation|ObservationDefinition|OperationDefinition|OperationOutcome|Organization|OrganizationAffiliation|Patient|PaymentNotice|PaymentReconciliation|Person|PlanDefinition|Practitioner|PractitionerRole|Procedure|Provenance|Questionnaire|QuestionnaireResponse|RelatedPerson|RequestGroup|ResearchDefinition|ResearchElementDefinition|ResearchStudy|ResearchSubject|RiskAssessment|RiskEvidenceSynthesis|Schedule|SearchParameter|ServiceRequest|Slot|Specimen|SpecimenDefinition|StructureDefinition|StructureMap|Subscription|Substance|SubstanceNucleicAcid|SubstancePolymer|SubstanceProtein|SubstanceReferenceInformation|SubstanceSourceMaterial|SubstanceSpecification|SupplyDelivery|SupplyRequest|Task|TerminologyCapabilities|TestReport|TestScript|ValueSet|VerificationResult|VisionPrescription,Basic.subject
